Unique ID,Email,Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Q1 - Which Title Best Fits your Current Role?.1,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Average Salary,Q4 - What Industry do you work in?.1,Q4 - What Industry do you work in?.2,Q5 - Favorite Programming Language.1,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important t","Q8 - If you were to look for a new job today, what would be the most important.1",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?.1,Q11 - Which Country do you live in?.2,Q12 - Highest Level of Education,Q13 - Ethnicity
62a33b3db4da29969c62df3d,anonymous,10-Jun-22,8:38:00 AM,12:00:44 AM,Data Analyst,Yes,106k-125k,115.5,Healthcare,null,Python,9,9,7,5,5,7,Very Difficult,Remote Work,null,Male,26,United States,null,,White or Caucasian
62a33ba1bae91e4b8b82e35c,anonymous,10-Jun-22,8:40:00 AM,12:01:30 AM,Data Analyst,No,41k-65k,53,Finance,null,R,1,2,5,2,1,3,Very Difficult,Remote Work,null,Male,36,Canada,null,,Asian or Asian American
62a33c2cbc6861bf3176bec1,anonymous,10-Jun-22,8:42:00 AM,12:02:18 AM,Data Engineer,No,0-40k,20,Other ,Please Specify):Clean Energy,Python,0,8,7,5,7,7,Easy,Good Work/Life Balance,null,Male,23,Other ,Please Specify):Nigeria,,Black or African American
62a33c8624a26260273822f9,anonymous,10-Jun-22,8:43:00 AM,12:02:10 AM,Other ,Yes,150k-225k,187.5,Finance,null,R,10,6,7,10,7,10,Very Easy,Remote Work,null,Female,35,Canada,null,,White or Caucasian
62a33c91f3072dd892621e03,anonymous,10-Jun-22,8:44:00 AM,12:01:51 AM,Data Analyst,Yes,41k-65k,53,Healthcare,null,R,1,4,4,4,0,1,Difficult,Better Salary,null,Male,44,United States,null,,Black or African American
62a33cb6cf25554317300177,anonymous,10-Jun-22,8:44:00 AM,12:02:34 AM,Data Analyst,Yes,0-40k,20,Other ,Please Specify):Coworking space ,Python,2,3,3,3,3,2,Difficult,Good Work/Life Balance,null,Male,33,Other ,Please Specify):Republic democratic of Congo ,,Black or African American
62a33cb72e54c9003e531c65,anonymous,10-Jun-22,8:44:00 AM,12:01:15 AM,Data Scientist,Yes,0-40k,20,Finance,null,Python,0,6,6,6,6,5,Difficult,Better Salary,null,Male,24,Other ,Please Specify),,Black or African American
62a33cd30f8c8599d5af0f8f,anonymous,10-Jun-22,8:45:00 AM,12:01:25 AM,Data Engineer,Yes,125k-150k,137.5,Other ,Please Specify):Retail,Other,10,5,5,5,5,9,Neither easy nor difficult,Remote Work,null,Male,35,United States,null,,Asian or Asian American
62a33cd3cf255543173001d9,anonymous,10-Jun-22,8:45:00 AM,12:02:10 AM,Data Analyst,Yes,86k-105k,95.5,Healthcare,null,R,4,4,4,4,5,5,Neither easy nor difficult,Better Salary,null,Male,35,United States,null,,Asian or Asian American
62a33cd8bc6861bf3176c05f,anonymous,10-Jun-22,8:45:00 AM,12:01:27 AM,Data Analyst,Yes,41k-65k,53,Telecommunication,null,Python,2,0,3,3,0,4,Very Difficult,Better Salary,null,Male,28,United States,null,,Hispanic or Latino
62a33ce918134ddc75ce8c30,anonymous,10-Jun-22,8:45:00 AM,12:01:29 AM,Data Analyst,Yes,66k-85k,75.5,Other ,Please Specify):Logistics,Python,10,10,8,8,8,10,Neither easy nor difficult,Remote Work,null,Male,37,Canada,null,,White or Caucasian
62a33cf30a77c1a77f65baa2,anonymous,10-Jun-22,8:45:00 AM,12:02:31 AM,Data Analyst,Yes,0-40k,20,Other ,Please Specify):Igaming,Python,3,8,10,10,7,8,Neither easy nor difficult,Better Salary,null,Male,32,Other ,Please Specify):Serbia,,White or Caucasian
62a33d15f408bae018ed370d,anonymous,10-Jun-22,8:46:00 AM,12:03:20 AM,Data Analyst,Yes,0-40k,20,Tech,null,R,1,10,9,9,5,10,Neither easy nor difficult,Better Salary,null,Male,34,Other ,Please Specify):Argentina,,Other (Please Specify):Latino with Italian roots
62a33d1ebae91e4b8b82e707,anonymous,10-Jun-22,8:46:00 AM,12:00:55 AM,Data Scientist,Yes,0-40k,20,Education,null,Python,3,10,10,6,7,8,Easy,Good Work/Life Balance,null,Male,30,United Kingdom,null,,White or Caucasian
62a33d4624a26260273824c4,anonymous,10-Jun-22,8:47:00 AM,12:01:24 AM,Data Analyst,No,41k-65k,53,Construction,null,R,4,5,5,5,4,5,Neither easy nor difficult,Good Culture,null,Male,31,United States,null,,White or Caucasian
62a33d5c0f8c8599d5af107c,anonymous,10-Jun-22,8:47:00 AM,12:00:47 AM,Data Analyst,Yes,41k-65k,53,Finance,null,Python,4,10,7,7,7,5,Difficult,Good Culture,null,Male,29,United States,null,,White or Caucasian
62a33d850f8c8599d5af10cb,anonymous,10-Jun-22,8:48:00 AM,12:01:06 AM,Data Analyst,Yes,0-40k,20,Tech,null,Python,1,2,4,2,2,2,Neither easy nor difficult,Better Salary,null,Male,22,Other ,Please Specify):Niger,,Black or African American
62a33d9bf8f7561645852496,anonymous,10-Jun-22,8:48:00 AM,12:01:04 AM,Student/Looking/None,Yes,0-40k,20,Other ,Please Specify):Retail,Python,1,3,2,2,4,1,Difficult,Better Salary,null,Male,23,United States,null,,Black or African American
62a33dbdd8c00e9f5419cd65,anonymous,10-Jun-22,8:49:00 AM,12:01:05 AM,Student/Looking/None,No,41k-65k,53,Tech,null,R,7,8,8,6,8,3,Very Difficult,Better Salary,null,Female,26,Canada,null,,Asian or Asian American
